Zone,Station_Name,Station_Type
SOUTH ZONE,Santhapettai,Main Pumping Station
SOUTH ZONE,Thavittusandhai,Main Pumping Station
SOUTH ZONE,Melavasal,Main Pumping Station
SOUTH ZONE,West Marret-Canara Bank,Main Pumping Station
SOUTH ZONE,Sunday Market,Main Pumping Station
SOUTH ZONE,Karukagapillai Kara Lane,Main Pumping Station
SOUTH ZONE,Thaikkal,Main Pumping Station
SOUTH ZONE,Puttuthoppu,Main Pumping Station
SOUTH ZONE,Arapalayam-New,Main Pumping Station
NORTH ZONE,Mundiri Thoppu,Main Pumping Station
NORTH ZONE,Thathaneri,Main Pumping Station
NORTH ZONE,K.K.Nagar,Main Pumping Station
NORTH ZONE,Anna Nagar,Main Pumping Station
NORTH ZONE,Anna Nagar Uzhvar Sandhai-New,Main Pumping Station
